customerId,orderQuantity,areaName,OrderDinner,OrderLunch,dessertQuantity,discountQuantity,drinkQuantity,plateQuantity,noplateQuantity,totalValue,totalValueAVG,discountTotal,discountTotalAVG,email_ok,language,sms_ok,plan,promocode,gender,reviews,FirstOrder,DaysLastOrder,churn
5148,34,Hub 3,FALSE,TRUE,0,0,1,65,1,407,12,416,12,TRUE,pt,TRUE,FALSE,FALSE,M,,FALSE,3,FALSE
5141,9,Benfica,TRUE,TRUE,0,0,0,21,5,173,19,0,0,TRUE,pt,TRUE,FALSE,FALSE,M,4,FALSE,15,FALSE
5135,1,Benfica,FALSE,TRUE,0,0,1,1,2,10,10,0,0,TRUE,pt,TRUE,FALSE,FALSE,M,,FALSE,3,FALSE
5130,4,Benfica,FALSE,TRUE,1,0,0,8,5,75,19,0,0,FALSE,pt,FALSE,FALSE,FALSE,M,3,FALSE,22,FALSE
5121,16,Hub 3,FALSE,TRUE,0,19,0,22,0,122,8,49,3,TRUE,pt,TRUE,TRUE,FALSE,M,,FALSE,30,FALSE
5109,18,Hub 3,FALSE,TRUE,0,0,1,18,2,147,8,0,0,TRUE,pt,TRUE,FALSE,FALSE,M,,FALSE,1,FALSE
5085,11,Benfica,FALSE,TRUE,0,0,0,11,0,78,7,0,0,FALSE,pt,FALSE,FALSE,FALSE,M,,FALSE,3,FALSE
5068,13,Hub 3,FALSE,TRUE,4,0,0,20,6,169,13,0,0,FALSE,pt,FALSE,FALSE,FALSE,M,,FALSE,8,FALSE
5067,13,Hub 3,FALSE,TRUE,0,0,5,13,7,110,8,0,0,TRUE,en,TRUE,FALSE,FALSE,M,,FALSE,21,FALSE
5063,36,Benfica,FALSE,TRUE,1,0,1,36,3,253,7,22,1,TRUE,pt,TRUE,FALSE,FALSE,M,,FALSE,3,FALSE
5057,13,Hub 3,FALSE,TRUE,0,0,0,15,1,114,9,1,0,FALSE,pt,FALSE,FALSE,FALSE,M,,FALSE,25,FALSE
5034,18,Hub 3,FALSE,TRUE,0,0,0,23,0,160,9,0,0,TRUE,en,TRUE,FALSE,FALSE,M,,FALSE,16,FALSE
5033,13,Benfica,FALSE,TRUE,0,0,0,13,0,102,8,0,0,TRUE,pt,TRUE,FALSE,FALSE,M,,FALSE,2,FALSE
5022,12,Benfica,FALSE,TRUE,0,0,0,12,0,83,7,0,0,FALSE,pt,FALSE,FALSE,FALSE,M,,FALSE,29,FALSE
5020,9,Benfica,TRUE,TRUE,0,0,0,10,1,82,9,2,0,TRUE,pt,TRUE,FALSE,FALSE,M,5,FALSE,1,FALSE
